N = 1701, adverse = 202 (11.9%); GBM = LightGBM
ID_pre (STA): mean = 4.02, SD = 1.38, range = [1.00, 8.25]
ID_dlg_mech: mean = 3.32, SD = 2.45; ID_dlg_part: mean = 3.49, SD = 2.40
r(IC, ID_pre) = 0.231; r(IH_pre, ID_pre) = 0.277; r(ID_dlg_mech, ID_dlg_part) = 0.924

features               model                LOSO  pooled5f   within-study 5f (S1/S2/S3)
---------------------------------------------------------------------------------------
IC+IC^2 (pre)          logit               0.526     0.512            0.468/0.463/0.515
IC+IC^2 (pre)          LightGBM            0.474     0.460            0.530/0.498/0.467
IH+IH^2 (pre)          logit               0.499     0.515            0.555/0.561/0.420
IH+IH^2 (pre)          LightGBM            0.475     0.482            0.459/0.495/0.500
ID alone (pre/STA)     logit               0.546     0.549            0.476/0.553/0.570
ID alone (pre/STA)     LightGBM            0.561     0.554            0.492/0.569/0.538
ID+ID^2 (pre/STA)      logit               0.542     0.547            0.479/0.523/0.566
ID+ID^2 (pre/STA)      LightGBM            0.561     0.554            0.492/0.569/0.538
IC+IH+ID (pre,+sq)     logit               0.520     0.533            0.491/0.500/0.524
IC+IH+ID (pre,+sq)     LightGBM            0.511     0.532            0.530/0.600/0.514
ID mech (dlg)          logit               0.564     0.563            0.544/0.586/0.559
ID mech (dlg)          LightGBM            0.502     0.513            0.447/0.564/0.582
ID part-only (dlg)     logit               0.551     0.547            0.537/0.577/0.538
ID part-only (dlg)     LightGBM            0.491     0.494            0.511/0.526/0.466
IH (dlg)               logit               0.587     0.582            0.598/0.607/0.559
IH (dlg)               LightGBM            0.550     0.560            0.531/0.519/0.509
pre-belief alone       logit               0.697     0.696            0.730/0.678/0.674
pre-belief alone       LightGBM            0.684     0.693            0.698/0.708/0.649
full (IC,IC2,PB,WC)    logit               0.685     0.683            0.708/0.609/0.639
full (IC,IC2,PB,WC)    LightGBM            0.666     0.685            0.660/0.681/0.624
full + ID_pre          logit               0.685     0.685            0.708/0.613/0.663
full + ID_pre          LightGBM            0.694     0.707            0.664/0.706/0.644
