participantId,Speaker,PromptType,BeliefType,PreBelief,PostBelief,Age,Gender,Education,PoliticalAff,Eval_Convincing,Eval_Logical,Eval_Trust,Eval_Credibility,belief_change
23,Expert,Human-like,Epistemically unwarranted beliefs,70.0,78.0,76.0,Female,High school graduate,6.0,5.0,5.0,4.0,5.0,8.0
26,AI,Neutral,Epistemically unwarranted beliefs,100.0,100.0,81.0,Female,Graduate degree,1.0,2.0,5.0,3.0,4.0,0.0
28,Expert,Neutral,Conspiracy beliefs,75.0,100.0,51.0,Male,Graduate degree,6.0,5.0,6.0,6.0,6.0,25.0
31,Expert,Neutral,Epistemically unwarranted beliefs,100.0,100.0,65.0,Female,Bachelor's degree,2.0,5.0,5.0,5.0,5.0,0.0
35,AI,Neutral,Conspiracy beliefs,94.0,81.0,71.0,Female,Graduate degree,6.0,2.0,4.0,1.0,4.0,-13.0
36,Expert,Human-like,Conspiracy beliefs,80.0,81.0,46.0,Male,Graduate degree,6.0,6.0,1.0,4.0,5.0,1.0
41,Expert,Human-like,Conspiracy beliefs,98.0,96.0,70.0,Male,Attended college,5.0,2.0,1.0,4.0,4.0,-2.0
45,Expert,Neutral,Conspiracy beliefs,91.0,90.0,69.0,Female,Graduate degree,4.0,1.0,2.0,1.0,2.0,-1.0
53,AI,Human-like,Conspiracy beliefs,100.0,100.0,72.0,Female,Bachelor's degree,6.0,5.0,6.0,2.0,4.0,0.0
56,Expert,Human-like,Conspiracy beliefs,99.0,100.0,62.0,Female,High school graduate,6.0,2.0,2.0,1.0,1.0,1.0
59,Expert,Human-like,Epistemically unwarranted beliefs,80.0,81.0,53.0,Male,Graduate degree,2.0,5.0,5.0,5.0,4.0,1.0
64,Expert,Neutral,Epistemically unwarranted beliefs,100.0,100.0,67.0,Female,Attended college,1.0,4.0,5.0,4.0,5.0,0.0
66,AI,Neutral,Epistemically unwarranted beliefs,100.0,100.0,65.0,Male,High school graduate,3.0,6.0,6.0,6.0,6.0,0.0
69,Expert,Human-like,Conspiracy beliefs,62.0,40.0,48.0,Male,Graduate degree,2.0,1.0,1.0,1.0,1.0,-22.0
71,Expert,Human-like,Conspiracy beliefs,51.0,47.0,48.0,Female,Bachelor's degree,5.0,2.0,3.0,1.0,2.0,-4.0
75,AI,Neutral,Conspiracy beliefs,90.0,69.0,32.0,Female,Bachelor's degree,2.0,5.0,5.0,5.0,5.0,-21.0
76,Expert,Neutral,Epistemically unwarranted beliefs,82.0,79.0,71.0,Female,Bachelor's degree,5.0,3.0,4.0,3.0,3.0,-3.0
78,AI,Human-like,Epistemically unwarranted beliefs,100.0,100.0,80.0,Female,High school graduate,6.0,5.0,5.0,5.0,5.0,0.0
83,AI,Neutral,Epistemically unwarranted beliefs,100.0,100.0,83.0,Female,High school graduate,6.0,1.0,3.0,1.0,3.0,0.0
84,Expert,Human-like,Conspiracy beliefs,70.0,50.0,68.0,Female,Attended college,1.0,4.0,4.0,3.0,3.0,-20.0
85,Expert,Human-like,Epistemically unwarranted beliefs,52.0,53.0,66.0,Female,High school graduate,4.0,1.0,1.0,1.0,1.0,1.0
92,Expert,Neutral,Epistemically unwarranted beliefs,72.0,81.0,66.0,Female,High school graduate,4.0,4.0,4.0,3.0,3.0,9.0
96,AI,Human-like,Conspiracy beliefs,60.0,73.0,43.0,Male,Graduate degree,6.0,4.0,4.0,5.0,4.0,13.0
97,Expert,Human-like,Conspiracy beliefs,60.0,61.0,61.0,Female,Bachelor's degree,2.0,5.0,5.0,5.0,5.0,1.0
110,AI,Neutral,Conspiracy beliefs,81.0,81.0,77.0,Male,Bachelor's degree,2.0,4.0,4.0,3.0,5.0,0.0
111,AI,Neutral,Conspiracy beliefs,87.0,91.0,66.0,Male,Attended college,4.0,4.0,5.0,4.0,5.0,4.0
116,AI,Human-like,Conspiracy beliefs,90.0,87.0,77.0,Male,Bachelor's degree,5.0,1.0,2.0,1.0,1.0,-3.0
117,Expert,Neutral,Conspiracy beliefs,84.0,100.0,72.0,Female,Graduate degree,4.0,3.0,4.0,3.0,4.0,16.0
119,AI,Neutral,Epistemically unwarranted beliefs,91.0,53.0,71.0,Female,Bachelor's degree,4.0,2.0,2.0,2.0,2.0,-38.0
129,AI,Human-like,Conspiracy beliefs,83.0,75.0,80.0,Female,Attended college,1.0,4.0,4.0,2.0,3.0,-8.0
130,Expert,Human-like,Conspiracy beliefs,100.0,100.0,34.0,Female,Attended college,4.0,5.0,6.0,5.0,6.0,0.0
131,AI,Neutral,Conspiracy beliefs,91.0,92.0,69.0,Female,Bachelor's degree,6.0,1.0,2.0,1.0,1.0,1.0
134,Expert,Human-like,Conspiracy beliefs,100.0,100.0,71.0,Male,Attended college,3.0,2.0,4.0,3.0,3.0,0.0
141,AI,Human-like,Epistemically unwarranted beliefs,98.0,94.0,53.0,Male,Attended college,4.0,5.0,5.0,5.0,5.0,-4.0
148,AI,Human-like,Conspiracy beliefs,67.0,44.0,62.0,Female,Vocational training,6.0,4.0,5.0,3.0,4.0,-23.0
149,Expert,Neutral,Conspiracy beliefs,100.0,100.0,67.0,Female,Graduate degree,4.0,1.0,1.0,1.0,1.0,0.0
150,Expert,Human-like,Conspiracy beliefs,100.0,100.0,72.0,Female,Attended college,6.0,2.0,2.0,2.0,2.0,0.0
155,Expert,Human-like,Epistemically unwarranted beliefs,100.0,76.0,58.0,Female,Vocational training,6.0,5.0,5.0,4.0,4.0,-24.0
156,Expert,Neutral,Epistemically unwarranted beliefs,99.0,99.0,57.0,Female,Vocational training,5.0,5.0,5.0,5.0,5.0,0.0
157,AI,Neutral,Conspiracy beliefs,91.0,59.0,70.0,Female,High school graduate,3.0,5.0,6.0,4.0,6.0,-32.0
164,Expert,Human-like,Conspiracy beliefs,96.0,49.0,60.0,Male,Bachelor's degree,6.0,2.0,5.0,3.0,4.0,-47.0
167,Expert,Neutral,Epistemically unwarranted beliefs,81.0,82.0,56.0,Male,Attended college,6.0,4.0,4.0,4.0,4.0,1.0
170,Expert,Human-like,Conspiracy beliefs,51.0,49.0,61.0,Male,Attended college,5.0,5.0,5.0,5.0,5.0,-2.0
175,AI,Human-like,Epistemically unwarranted beliefs,81.0,81.0,76.0,Male,Graduate degree,5.0,5.0,5.0,5.0,6.0,0.0
178,Expert,Neutral,Conspiracy beliefs,100.0,99.0,72.0,Female,Attended college,1.0,5.0,6.0,3.0,5.0,-1.0
179,AI,Human-like,Epistemically unwarranted beliefs,81.0,100.0,73.0,Female,Attended college,5.0,4.0,4.0,3.0,3.0,19.0
268,Expert,Human-like,Epistemically unwarranted beliefs,70.0,98.0,75.0,Female,Graduate degree,1.0,5.0,6.0,5.0,5.0,28.0
271,Expert,Neutral,Epistemically unwarranted beliefs,90.0,92.0,52.0,Male,Graduate degree,4.0,6.0,5.0,5.0,6.0,2.0
