participantId,IC_openai_initial,IC_openai
65978a6c375b6513561ed3fa,2.0,2.0
65a74f0bddbf9042d8d537e7,1.0,1.0
58509fbda6946500016117ed,1.4,2.0
5dbc46b70338051eb7999760,2.0,2.0
6080956cb039d0b097c4c595,1.0,2.0
65ca8b87ebd847a5d4ac354e,3.0,3.0
63d13cb81a0a88a3ce29e33f,2.9,2.0
670453b0d93209a1e156916d,3.0,2.0
5dda7c46dfe9da9d4db15522,2.5,2.5
63fc11800831186660b045ca,3.0,4.0
62961bfdbe5f238d3225db72,2.0,3.0
5fa0d1a1e40401160ec4a011,2.0,3.0
632d68dde8d04677f58d963c,3.0,2.0
63b6cee06aaa9fc9669b8cc2,2.0,2.0
66639889ea005547089b6cbf,1.0,2.0
66d3274252d61ef65f0cc099,1.4,3.0
63da967fb1bbdcf1bfdf1009,2.0,2.0
63617d0513b0cf392fd67e3e,3.0,3.0
59f0f82ce75b450001a699ad,2.0,2.0
661ee735d1619c1f872b98f6,2.3,2.2
636d19c8d8a6c6ef4d37ff41,2.0,2.0
617323e630f3fa36361cb35b,2.0,2.0
660c21b888db988a05a6afd2,2.0,2.8
679023f5b7572e2b6cb86bf7,3.0,3.0
5749537f5e5491000f3c1e33,1.2,2.0
5e14ffee6f6c63b33cf77eb3,3.3,4.0
664b523f60a309f3791726f8,2.1,2.8
5c2d7377da51990001e424f3,3.0,2.7
67ace3fc5892a4d45463156b,2.0,2.0
66541402baeab50a7ef62b24,2.0,4.0
60ff1e2673de1b1e09dfaf59,3.0,2.0
6628141ef03d907d9b2ff86d,2.0,3.0
648247f1a39f941af3429342,2.0,4.0
5dcf5cfcf3b7c209a61477f8,3.0,3.0
66a8f82143da40a6b126975e,2.0,2.0
6168ace1ef0f716f56f08f5b,2.0,3.0
66e77ca5605366514587c2dd,2.0,2.7
5f1b4845cbf55f3192e33b89,3.0,3.0
5f121091e95fdc03b5e897d0,2.9,3.0
664757043cb597943f321d65,2.0,3.0
6684cb984cc5dc0ac0f68687,2.5,5.0
6726258c45240ec77902a33f,2.0,2.0
66951e33562da052826d07ed,2.0,2.0
6005bf78ff6a5287aba5661f,1.0,2.0
5db48b4d14dab8000de45fdf,2.0,3.0
66c4cd8fe64a9fe553dceb02,3.0,2.8
66dee6f684496247b05c71fa,3.0,3.0
663bc254f4b7b1bf2cdd0a70,2.0,2.2
60f478bd79adf8819a73fa56,3.0,2.0
5d332957d0635b00013bd785,2.0,2.0
604bfe99dcaa286218d25fca,2.0,2.0
6686a67b033a587e5930373f,4.0,3.0
5d193535601cd70017727028,1.0,2.0
665fc8123159edac3b65bd62,2.0,3.0
654509bce930185adab23a1a,2.0,3.0
669c875560ed8446c3765679,3.0,3.0
6645335d97b867affa51c30f,2.0,2.0
5ea5dd6605b5170963934a65,3.0,2.0
66c4b62a43b7ea9fa8d655b6,4.8,5.0
57f2da5c6c19420001438d19,2.2,2.0
