participantId,IC_openai_initial,IC_openai
SAL_0000,2.0,2.7
SAL_0001,2.0,4.5
SAL_0002,2.0,5.0
SAL_0003,2.0,3.0
SAL_0004,3.5,5.0
SAL_0005,2.0,2.0
SAL_0006,3.0,3.0
SAL_0007,1.8,5.0
SAL_0008,2.0,2.1
SAL_0009,3.0,5.0
SAL_0010,2.0,2.0
SAL_0011,3.0,3.0
SAL_0012,2.0,2.0
SAL_0013,3.0,3.0
SAL_0014,2.0,4.2
SAL_0015,3.0,5.0
SAL_0016,2.0,3.0
SAL_0017,2.0,2.4
SAL_0018,2.0,3.0
SAL_0019,2.0,4.0
SAL_0020,3.0,5.0
SAL_0021,2.0,5.0
SAL_0022,3.0,6.0
SAL_0023,2.0,4.0
SAL_0024,2.6,3.0
SAL_0025,3.0,3.0
SAL_0026,4.0,5.0
SAL_0027,2.0,4.4
SAL_0028,5.0,6.0
SAL_0029,3.0,3.5
SAL_0030,2.0,3.0
SAL_0031,3.0,3.9
SAL_0032,2.0,2.0
SAL_0033,2.0,3.0
SAL_0034,2.5,5.0
SAL_0035,2.0,2.0
SAL_0036,3.0,5.0
SAL_0037,3.0,5.0
SAL_0038,3.0,3.4
SAL_0039,5.0,5.2
SAL_0040,3.0,3.0
SAL_0041,2.0,3.0
SAL_0042,2.0,3.0
SAL_0043,3.4,4.0
SAL_0044,3.1,4.3
SAL_0045,2.0,2.2
SAL_0046,3.0,5.0
SAL_0047,3.0,5.0
SAL_0048,4.0,5.0
SAL_0049,2.0,3.0
SAL_0050,2.0,4.7
SAL_0051,3.0,5.0
SAL_0052,2.0,2.0
SAL_0053,2.0,3.0
SAL_0054,3.0,4.0
SAL_0055,2.6,4.0
SAL_0056,2.0,2.0
SAL_0057,3.0,5.0
SAL_0058,3.0,5.0
SAL_0059,3.5,4.7
SAL_0060,3.0,5.0
SAL_0061,2.0,2.4
SAL_0062,2.0,3.0
SAL_0063,2.0,2.0
SAL_0064,2.0,2.0
SAL_0065,3.0,5.0
SAL_0066,2.0,3.0
SAL_0067,3.0,4.0
SAL_0068,2.0,3.5
SAL_0069,3.0,5.0
SAL_0070,2.4,3.0
SAL_0071,2.0,2.0
SAL_0072,2.0,4.0
SAL_0073,2.0,2.1
SAL_0074,2.0,3.0
SAL_0075,2.0,5.0
SAL_0076,2.0,3.0
SAL_0077,3.0,4.5
SAL_0078,2.0,2.0
SAL_0079,3.0,5.0
SAL_0080,4.0,6.0
SAL_0081,2.0,2.0
SAL_0082,3.0,5.0
SAL_0083,2.0,4.0
SAL_0084,3.0,3.3
SAL_0085,2.0,2.0
SAL_0086,2.2,4.9
SAL_0087,3.0,4.0
SAL_0088,3.0,5.0
SAL_0089,4.0,5.0
SAL_0090,3.0,5.0
SAL_0091,2.0,5.0
SAL_0092,2.0,3.0
SAL_0093,3.0,2.2
SAL_0094,2.0,3.0
SAL_0095,2.4,5.0
SAL_0096,3.0,5.0
SAL_0097,2.0,2.9
SAL_0098,4.0,6.0
SAL_0099,2.9,4.6
SAL_0100,3.0,3.0
SAL_0101,3.1,5.0
SAL_0102,2.0,5.0
SAL_0103,3.0,5.0
SAL_0104,3.6,4.5
SAL_0105,3.0,4.0
SAL_0106,2.0,2.0
SAL_0107,4.3,5.5
SAL_0108,2.0,4.0
SAL_0109,3.0,4.0
SAL_0110,3.0,5.0
SAL_0111,2.0,2.1
SAL_0112,2.0,3.0
SAL_0113,2.0,3.0
SAL_0114,3.2,5.9
SAL_0115,2.0,2.0
SAL_0116,2.0,2.0
SAL_0117,3.0,5.0
SAL_0118,2.0,5.0
SAL_0119,2.0,5.0
SAL_0120,2.0,3.0
SAL_0121,2.0,3.0
SAL_0122,3.0,5.0
SAL_0123,2.0,3.0
SAL_0124,2.0,3.0
SAL_0125,2.0,3.1
SAL_0126,3.4,4.0
SAL_0127,2.0,2.0
SAL_0128,2.0,3.0
SAL_0129,3.0,5.0
SAL_0130,3.0,3.0
SAL_0131,2.0,3.0
SAL_0132,2.0,5.0
SAL_0133,3.0,6.0
SAL_0134,2.0,4.7
SAL_0135,3.0,3.0
SAL_0136,2.0,3.0
SAL_0137,2.0,3.1
SAL_0138,2.0,3.5
SAL_0139,2.0,3.0
SAL_0140,3.0,5.0
SAL_0141,4.0,5.0
SAL_0142,4.3,5.0
SAL_0143,2.0,3.0
SAL_0144,2.5,3.0
SAL_0145,3.0,4.0
SAL_0146,3.0,3.6
SAL_0147,1.5,2.0
SAL_0148,2.0,3.0
SAL_0149,2.0,3.0
SAL_0150,2.0,4.0
SAL_0151,2.0,3.0
SAL_0152,3.0,5.0
SAL_0153,2.8,3.7
SAL_0154,2.0,2.0
SAL_0155,2.0,2.9
SAL_0156,2.8,3.0
SAL_0157,3.0,3.0
SAL_0158,2.0,3.0
SAL_0159,2.0,3.0
SAL_0160,2.0,3.0
SAL_0161,3.6,5.0
SAL_0162,2.0,3.0
SAL_0163,2.0,3.0
SAL_0164,2.0,2.0
SAL_0165,5.0,5.0
SAL_0166,2.0,2.0
SAL_0167,2.8,3.0
SAL_0168,3.0,5.0
SAL_0169,3.0,4.3
SAL_0170,3.0,5.0
SAL_0171,1.4,2.0
SAL_0172,2.0,2.0
SAL_0173,3.0,3.0
SAL_0174,1.3,2.0
SAL_0175,3.0,5.0
SAL_0176,3.0,5.5
SAL_0177,2.0,2.0
SAL_0178,3.0,4.0
SAL_0179,2.0,3.0
SAL_0180,2.0,4.7
SAL_0181,2.0,2.0
SAL_0182,3.0,3.2
SAL_0183,2.0,3.0
SAL_0184,4.6,5.0
SAL_0185,2.0,3.5
SAL_0186,2.0,2.0
SAL_0187,2.1,2.8
SAL_0188,2.9,4.0
SAL_0189,3.0,5.0
SAL_0190,2.0,3.0
SAL_0191,2.0,4.9
SAL_0192,3.0,3.1
SAL_0193,2.0,3.0
SAL_0194,2.0,3.7
SAL_0195,2.0,5.0
SAL_0196,3.0,5.0
SAL_0197,2.0,4.0
SAL_0198,2.0,4.0
SAL_0199,3.0,4.0
SAL_0200,3.0,4.0
SAL_0201,3.0,5.0
SAL_0202,6.0,6.0
SAL_0203,2.3,3.0
SAL_0204,2.0,2.0
SAL_0205,2.0,3.0
SAL_0206,2.0,3.0
SAL_0207,2.0,2.0
SAL_0208,2.0,3.0
SAL_0209,2.0,4.3
SAL_0210,2.0,2.6
SAL_0211,2.0,2.0
SAL_0212,4.0,5.0
SAL_0213,2.0,4.8
SAL_0214,3.0,3.0
SAL_0215,2.0,3.0
SAL_0216,3.0,5.0
SAL_0217,4.0,5.0
SAL_0218,2.0,5.0
SAL_0219,5.0,5.0
SAL_0220,1.9,2.0
SAL_0221,4.0,5.0
SAL_0222,3.0,5.2
SAL_0223,3.9,5.0
SAL_0224,3.0,4.0
SAL_0225,2.0,2.3
SAL_0226,2.0,3.1
SAL_0227,2.0,4.1
SAL_0228,3.0,3.9
SAL_0229,3.0,3.0
SAL_0230,3.0,3.0
SAL_0231,2.0,2.0
SAL_0232,3.0,5.0
SAL_0233,3.0,4.4
SAL_0234,2.0,4.0
SAL_0235,2.0,3.1
SAL_0236,2.0,3.0
SAL_0237,2.0,3.0
SAL_0238,3.0,4.3
SAL_0239,2.0,2.0
SAL_0240,2.0,2.0
SAL_0241,2.0,3.0
SAL_0242,2.5,4.0
SAL_0243,2.0,3.0
SAL_0244,2.0,3.0
SAL_0245,6.0,6.0
SAL_0246,4.0,5.0
SAL_0247,3.0,5.0
SAL_0248,2.0,3.0
SAL_0249,2.0,2.0
SAL_0250,2.0,2.0
SAL_0251,2.0,2.0
SAL_0252,2.0,5.0
SAL_0253,3.0,6.0
SAL_0254,4.0,5.0
SAL_0255,2.0,3.2
SAL_0256,3.0,3.0
SAL_0257,2.0,2.0
SAL_0258,1.5,2.0
SAL_0259,2.0,2.0
SAL_0260,3.7,4.0
SAL_0261,4.0,5.0
SAL_0262,2.0,3.0
SAL_0263,3.0,3.0
SAL_0264,2.0,4.0
SAL_0265,2.0,5.0
SAL_0266,2.4,3.0
SAL_0267,3.0,5.0
SAL_0268,3.0,4.5
SAL_0269,4.0,5.2
SAL_0270,2.0,4.0
SAL_0271,2.0,3.0
SAL_0272,2.0,3.4
SAL_0273,2.0,2.0
SAL_0274,2.0,2.6
SAL_0275,2.0,3.4
SAL_0276,2.0,3.6
SAL_0277,1.0,1.0
SAL_0278,2.0,5.0
SAL_0279,2.0,2.0
SAL_0280,2.0,3.0
SAL_0281,2.0,2.0
SAL_0282,2.0,4.0
SAL_0283,2.0,3.5
SAL_0284,3.0,3.9
SAL_0285,2.0,3.0
SAL_0286,2.0,5.0
SAL_0287,2.0,2.0
SAL_0288,2.0,3.0
SAL_0289,2.0,1.9
SAL_0290,4.3,5.0
SAL_0291,3.0,2.0
SAL_0292,3.0,4.8
SAL_0293,2.0,2.0
SAL_0294,2.0,2.0
SAL_0295,2.0,2.0
SAL_0296,3.0,3.0
SAL_0297,2.0,4.3
SAL_0298,2.0,5.0
SAL_0299,2.0,4.0
SAL_0300,2.0,3.4
SAL_0301,2.0,4.7
SAL_0302,3.0,4.5
SAL_0303,3.0,4.0
SAL_0304,3.0,3.5
SAL_0305,2.8,5.0
SAL_0306,2.0,3.2
SAL_0307,1.0,1.2
SAL_0308,2.0,3.0
SAL_0309,2.0,2.0
SAL_0310,3.0,5.0
SAL_0311,2.0,4.0
