participantId,IC_openai_initial,IC_openai
0001a32323__S173964292,3.0,3.0
0001a32323__S173965578,2.0,2.0
0001a32323__S173968434,3.2,3.2
000876ef14__S173961517,4.0,4.0
000876ef14__S173963596,2.0,2.0
000876ef14__S173967311,2.0,2.0
000afe7cc9__S173961981,3.3,3.3
000afe7cc9__S173965066,3.0,3.0
000afe7cc9__S173965846,3.0,3.0
0020b95cd8__S173962791,4.0,4.0
0020b95cd8__S173965737,3.0,3.0
0020b95cd8__S173967300,3.0,3.0
0029bb3f4f__S173963459,4.0,4.0
0029bb3f4f__S173963738,4.0,4.0
003030d5aa__S173966921,3.0,3.0
003030d5aa__S173968744,4.0,4.0
003030d5aa__S173970681,3.0,3.0
003503a174__S173960625,4.0,4.0
003503a174__S173965370,2.0,2.0
003503a174__S173966796,2.0,2.0
005149f53c__S173964380,2.0,2.0
005149f53c__S173968328,2.0,2.0
005149f53c__S173968414,2.0,2.0
005170c057__S173964057,2.0,2.0
005170c057__S173966609,2.0,2.0
005170c057__S173969403,2.0,2.0
00518298c6__S173963874,3.0,3.0
00518298c6__S173967485,4.4,4.4
00518298c6__S173970748,5.0,5.0
0057da435b__S173965746,3.0,3.0
0057da435b__S173965945,1.7,1.7
0057da435b__S173970681,2.0,2.0
00596a2ff0__S173962424,3.0,3.0
00596a2ff0__S173962495,2.0,2.0
00596a2ff0__S173967069,2.0,2.0
00596a2ff0__S173970680,2.0,2.0
005d1f8c6e__S173963307,3.1,3.1
005d1f8c6e__S173963348,3.0,3.0
005d1f8c6e__S173965831,2.0,2.0
00643db84e__S173962343,2.3,2.3
00643db84e__S173963217,5.0,5.0
00643db84e__S173967984,5.0,5.0
0075042973__S173965544,4.0,4.0
0075042973__S173967023,2.0,2.0
0075042973__S173967206,3.0,3.0
007b66a2db__S173962460,3.0,3.0
007b66a2db__S173965164,2.1,2.1
007b66a2db__S173965276,3.3,3.3
007e723f08__S173965414,2.0,2.0
007e723f08__S173967316,4.0,4.0
0095faf3ad__S173960914,2.0,2.0
0095faf3ad__S173964776,3.7,3.7
0095faf3ad__S173965698,3.0,3.0
009984c3ef__S173961437,2.7,2.7
009984c3ef__S173963604,3.0,3.0
009984c3ef__S173966940,2.0,2.0
00b13588a1__S173962248,3.3,3.3
00b13588a1__S173963812,3.8,3.8
00db34c534__S173962225,3.0,3.0
00db34c534__S173962966,2.0,2.0
00db34c534__S173969264,3.0,3.0
00ec693f85__S173965814,2.0,2.0
00ec693f85__S173969675,2.0,2.0
0101953fb5__S173965139,1.2,1.2
010b69f03e__S173961424,2.0,2.0
010b69f03e__S173961522,3.0,3.0
010b69f03e__S173961597,3.0,3.0
01168972c9__S173966760,3.0,3.0
01168972c9__S173967507,3.9,3.9
01168972c9__S173969345,2.0,2.0
011c3212ed__S173962152,2.9,2.9
011c3212ed__S173969628,2.0,2.0
011c8c76d2__S173964033,2.0,2.0
011c8c76d2__S173964651,2.0,2.0
011c8c76d2__S173965005,3.0,3.0
01261eefdb__S173960966,2.0,2.0
01261eefdb__S173969753,2.0,2.0
01261eefdb__S173969884,2.0,2.0
0126d72997__S173960419,2.2,2.2
0126d72997__S173962199,3.0,3.0
0126d72997__S173969954,2.9,2.9
012f7154c3__S173963308,4.0,4.0
012f7154c3__S173963614,3.0,3.0
012f7154c3__S173966974,3.0,3.0
0130f5dd49__S173961811,2.0,2.0
0130f5dd49__S173968236,1.9,1.9
0130f5dd49__S173970760,3.0,3.0
013593b138__S173963485,4.0,4.0
013593b138__S173964144,3.0,3.0
013593b138__S173965592,2.4,2.4
014276af33__S173960988,2.0,2.0
014276af33__S173961092,2.0,2.0
014276af33__S173970241,2.0,2.0
0155f23d7a__S173963001,2.0,2.0
0155f23d7a__S173963822,3.0,3.0
