participantId,row_idx,ic_ev,ic_greedy,ic_p_1,ic_p_2,ic_p_3,ic_p_4,ic_p_5,ic_p_6,ic_p_7
0001a32323__S173964292,0,2.426930904388428,2,0.0462812446057796,0.497570276260376,0.4391042292118072,0.0170259177684783,1.7592841686564498e-05,7.261432983796112e-07,2.4082787319912317e-08
0001a32323__S173965578,1,2.9161040782928467,3,0.0003205791581422,0.2132305353879928,0.6567962765693665,0.1293308436870575,0.0003205791581422,1.1561888868527603e-06,1.868805377114313e-08
0001a32323__S173968434,2,3.4384779930114746,3,9.486127055424731e-06,0.0496289879083633,0.4708667397499084,0.4708667397499084,0.0086242258548736,3.714820650202455e-06,1.2985530872811069e-08
000876ef14__S173961517,3,3.970592975616455,4,7.19568049589725e-07,0.0001459692139178,0.1327065676450729,0.7636736035346985,0.1033519878983497,0.0001210127302329,4.0595249828356834e-08
000876ef14__S173963596,4,2.508830070495605,2,0.0129023632034659,0.4841576218605041,0.4841576218605041,0.0187728274613618,9.162928108708002e-06,4.0259098454953357e-07,1.3352065231231336e-08
000876ef14__S173967311,5,2.374614715576172,2,0.0253324173390865,0.5765631198883057,0.3962656855583191,0.0018350741593167,3.3278954560955758e-06,3.295062924735248e-07,1.9788389593600183e-08
000afe7cc9__S173961981,6,3.935715436935425,4,1.4676099908683682e-06,0.0001805730134947,0.1641662865877151,0.7357422709465027,0.0995718836784362,0.0003373547806404,1.698881817446818e-07
000afe7cc9__S173965066,7,3.5592706203460693,4,4.290702236176003e-06,0.0093576591461896,0.4508772790431976,0.5109108686447144,0.0288236215710639,2.6283740226062943e-05,4.339984016610288e-08
000afe7cc9__S173965846,8,4.25310754776001,4,1.6259014046227094e-06,7.35939247533679e-05,0.0590454265475273,0.6347981691360474,0.2998574376106262,0.006223342847079,3.2015898909776297e-07
0020b95cd8__S173962791,9,3.9527394771575928,4,2.840779643520364e-06,0.002011384582147,0.2051668018102646,0.6319582462310791,0.1597840636968612,0.001076616696082,6.892947368442037e-08
